artifact_name,motif
嘉庆款五彩龙凤纹碗,龙凤
嘉庆款五彩龙凤纹碗,八宝
嘉庆款五彩龙凤纹碗,花卉纹
嘉庆款五彩龙凤纹碗,动物纹样
嘉庆款五彩龙凤纹碗,云纹
嘉庆款五彩龙凤纹碗,动物图案
嘉庆款五彩龙凤纹碗,想象的动物
嘉庆款五彩龙凤纹碗,龙（想象的动物）
嘉庆款五彩龙凤纹碗,凤凰
嘉庆款五彩龙凤纹碗,瑞兽
嘉庆款五彩龙凤纹碗,吉祥纹饰
嘉庆款五彩龙凤纹碗,龙纹
嘉庆款五彩龙凤纹碗,凤纹
嘉庆款五彩龙凤纹碗,龙的组合
嘉庆款五彩龙凤纹碗,凤凰的组合
斗彩龙凤穿花纹带盖梅瓶,缠枝纹
斗彩龙凤穿花纹带盖梅瓶,龙穿花
斗彩龙凤穿花纹带盖梅瓶,凤穿花
斗彩龙凤穿花纹带盖梅瓶,龙凤
斗彩龙凤穿花纹带盖梅瓶,植物纹样
斗彩龙凤穿花纹带盖梅瓶,花卉纹
斗彩龙凤穿花纹带盖梅瓶,勾莲
斗彩龙凤穿花纹带盖梅瓶,莲瓣纹
斗彩龙凤穿花纹带盖梅瓶,折枝纹
斗彩龙凤穿花纹带盖梅瓶,动物纹样
斗彩龙凤穿花纹带盖梅瓶,如意云纹
斗彩龙凤穿花纹带盖梅瓶,花瓣纹
斗彩龙凤穿花纹带盖梅瓶,动物图案
斗彩龙凤穿花纹带盖梅瓶,想象的动物
斗彩龙凤穿花纹带盖梅瓶,龙（想象的动物）
斗彩龙凤穿花纹带盖梅瓶,凤凰
斗彩龙凤穿花纹带盖梅瓶,瑞兽
斗彩龙凤穿花纹带盖梅瓶,吉祥纹饰
斗彩龙凤穿花纹带盖梅瓶,龙纹
斗彩龙凤穿花纹带盖梅瓶,凤纹
斗彩龙凤穿花纹带盖梅瓶,花卉纹的组合
斗彩龙凤穿花纹带盖梅瓶,穿花纹
斗彩龙凤穿花纹带盖梅瓶,龙凤穿花
斗彩龙凤穿花纹带盖梅瓶,龙的组合
斗彩龙凤穿花纹带盖梅瓶,凤凰的组合
祭蓝釉白龙纹盘,动物图案
祭蓝釉白龙纹盘,昂首（动物）
祭蓝釉白龙纹盘,翻腾（动物）
祭蓝釉白龙纹盘,想象的动物
祭蓝釉白龙纹盘,瑞兽
祭蓝釉白龙纹盘,龙纹
乾隆款胭脂红、蓝地轧道洋彩折枝花卉纹合欢瓶,植物纹样
乾隆款胭脂红、蓝地轧道洋彩折枝花卉纹合欢瓶,花卉纹
乾隆款胭脂红、蓝地轧道洋彩折枝花卉纹合欢瓶,折枝花卉
乾隆款胭脂红、蓝地轧道洋彩折枝花卉纹合欢瓶,折枝纹
乾隆款胭脂红、蓝地轧道洋彩折枝花卉纹合欢瓶,茎（植物）
乾隆款胭脂红、蓝地轧道洋彩折枝花卉纹合欢瓶,树枝
乾隆款胭脂红、蓝地轧道洋彩折枝花卉纹合欢瓶,花卉
乾隆款胭脂红、蓝地轧道洋彩折枝花卉纹合欢瓶,折枝
青花海水白龙纹扁瓶,缠枝纹
青花海水白龙纹扁瓶,海水龙
青花海水白龙纹扁瓶,植物纹样
青花海水白龙纹扁瓶,花卉纹
青花海水白龙纹扁瓶,卷草纹
青花海水白龙纹扁瓶,动物纹样
青花海水白龙纹扁瓶,海水纹
青花海水白龙纹扁瓶,地（自然）
青花海水白龙纹扁瓶,水（自然）
青花海水白龙纹扁瓶,海（自然）
青花海水白龙纹扁瓶,动物图案
青花海水白龙纹扁瓶,想象的动物
青花海水白龙纹扁瓶,龙（想象的动物）
青花海水白龙纹扁瓶,瑞兽
青花海水白龙纹扁瓶,海水纹的组合
青花海水白龙纹扁瓶,吉祥纹饰
青花海水白龙纹扁瓶,龙纹
青花海水白龙纹扁瓶,龙的组合
康熙款豇豆红釉菊瓣瓶,器皿
康熙款豇豆红釉菊瓣瓶,瓶（容器）
康熙款豇豆红釉菊瓣瓶,瓷瓶
康熙款豇豆红釉菊瓣瓶,菊瓣瓶
康熙款豇豆红釉菊瓣瓶,瓷（陶瓷）
康熙款豇豆红釉菊瓣瓶,豇豆红釉瓶
康熙款豇豆红釉菊瓣瓶,陶瓷
康熙款豇豆红釉菊瓣瓶,颜色釉瓷
各色釉彩大瓶,缠枝纹
各色釉彩大瓶,植物纹样
各色釉彩大瓶,花卉纹
各色釉彩大瓶,莲花纹
各色釉彩大瓶,植物图案
各色釉彩大瓶,花卉
各色釉彩大瓶,孢子植物
各色釉彩大瓶,真菌植物
各色釉彩大瓶,灵芝
各色釉彩大瓶,荷（植物）
各色釉彩大瓶,莲花
各色釉彩大瓶,动物图案
各色釉彩大瓶,象（动物）
各色釉彩大瓶,女性
各色釉彩大瓶,蝙蝠
各色釉彩大瓶,羊（动物）
各色釉彩大瓶,想象的动物
各色釉彩大瓶,蟠螭
各色釉彩大瓶,凤凰
各色釉彩大瓶,瑞兽
各色釉彩大瓶,人物（图案与纹样）
万历款青花五彩鱼藻纹蒜头瓶,植物纹样
万历款青花五彩鱼藻纹蒜头瓶,莲瓣纹
万历款青花五彩鱼藻纹蒜头瓶,卷草纹
万历款青花五彩鱼藻纹蒜头瓶,动物纹样
万历款青花五彩鱼藻纹蒜头瓶,鱼纹
万历款青花五彩鱼藻纹蒜头瓶,花瓣纹
万历款青花五彩鱼藻纹蒜头瓶,孢子植物
万历款青花五彩鱼藻纹蒜头瓶,藻类植物
万历款青花五彩鱼藻纹蒜头瓶,藻（植物）
万历款青花五彩鱼藻纹蒜头瓶,梅花
万历款青花五彩鱼藻纹蒜头瓶,动物图案
万历款青花五彩鱼藻纹蒜头瓶,水族
万历款青花五彩鱼藻纹蒜头瓶,虾（动物）
万历款青花五彩鱼藻纹蒜头瓶,螃蟹
万历款青花五彩鱼藻纹蒜头瓶,水生动物
万历款青花五彩鱼藻纹蒜头瓶,鱼（动物）
万历款青花五彩鱼藻纹蒜头瓶,鱼群
万历款青花五彩鱼藻纹蒜头瓶,鱼乐
万历款青花五彩鱼藻纹蒜头瓶,藻的组合
万历款青花五彩鱼藻纹蒜头瓶,鱼藻
万历款青花五彩鱼藻纹蒜头瓶,鱼类
万历款青花五彩鱼藻纹蒜头瓶,鱼的组合
越窑青釉双系执壶,开片纹
钧窑天蓝釉长方花盆　,器皿
钧窑天蓝釉长方花盆　,盆（容器）
钧窑天蓝釉长方花盆　,瓷盆
钧窑天蓝釉长方花盆　,花盆
钧窑天蓝釉长方花盆　,方盆
钧窑天蓝釉长方花盆　,瓷（陶瓷）
钧窑天蓝釉长方花盆　,陶瓷
钧窑天蓝釉长方花盆　,天蓝釉盆
钧窑天蓝釉长方花盆　,颜色釉瓷
钧窑天蓝釉长方花盆　,园艺容器
哥窑青釉双耳三足炉,开片纹
定窑白釉内外刻划花蟠螭荷莲纹折腰洗,缠枝纹
定窑白釉内外刻划花蟠螭荷莲纹折腰洗,植物纹样
定窑白釉内外刻划花蟠螭荷莲纹折腰洗,花卉纹
定窑白釉内外刻划花蟠螭荷莲纹折腰洗,被子植物
定窑白釉内外刻划花蟠螭荷莲纹折腰洗,双子叶植物
定窑白釉内外刻划花蟠螭荷莲纹折腰洗,睡莲科
定窑白釉内外刻划花蟠螭荷莲纹折腰洗,动物图案
定窑白釉内外刻划花蟠螭荷莲纹折腰洗,想象的动物
定窑白釉内外刻划花蟠螭荷莲纹折腰洗,龙（想象的动物）
定窑白釉内外刻划花蟠螭荷莲纹折腰洗,螭龙
定窑白釉内外刻划花蟠螭荷莲纹折腰洗,蟠螭
定窑白釉内外刻划花蟠螭荷莲纹折腰洗,瑞兽
定窑白釉内外刻划花蟠螭荷莲纹折腰洗,龙纹
定窑白釉内外刻划花蟠螭荷莲纹折腰洗,莲（植物）
定窑白釉内外刻划花蟠螭荷莲纹折腰洗,莲的组合
定窑白釉内外刻划花蟠螭荷莲纹折腰洗,荷莲
定窑白釉内外刻划花蟠螭荷莲纹折腰洗,莲属
青白釉刻花婴戏莲花纹碗,植物纹样
青白釉刻花婴戏莲花纹碗,花卉纹
青白釉刻花婴戏莲花纹碗,莲花纹
青白釉刻花婴戏莲花纹碗,花卉
青白釉刻花婴戏莲花纹碗,应时花卉
青白釉刻花婴戏莲花纹碗,四季花卉
青白釉刻花婴戏莲花纹碗,夏花
青白釉刻花婴戏莲花纹碗,被子植物
青白釉刻花婴戏莲花纹碗,双子叶植物
青白釉刻花婴戏莲花纹碗,莲花
青白釉刻花婴戏莲花纹碗,睡莲科
青白釉刻花婴戏莲花纹碗,婴儿
青白釉刻花婴戏莲花纹碗,人物（图案与纹样）
青白釉刻花婴戏莲花纹碗,人物的组合
青白釉刻花婴戏莲花纹碗,莲（植物）
青白釉刻花婴戏莲花纹碗,莲属
青白釉刻花婴戏莲花纹碗,人物纹饰
青白釉刻花婴戏莲花纹碗,婴戏
龙泉窑青釉刻花尊,缠枝纹
龙泉窑青釉刻花尊,植物纹样
龙泉窑青釉刻花尊,花卉纹
龙泉窑青釉刻花尊,莲花纹
龙泉窑青釉刻花尊,莲瓣纹
龙泉窑青釉刻花尊,折枝纹
龙泉窑青釉刻花尊,弦纹
龙泉窑青釉刻花尊,花瓣纹
龙泉窑青釉刻花尊,春花
龙泉窑青釉刻花尊,夏花
龙泉窑青釉刻花尊,荷（植物）
龙泉窑青釉刻花尊,莲花
龙泉窑青釉刻花尊,毛茛科
龙泉窑青釉刻花尊,牡丹
青花缠枝莲纹折沿盆,缠枝纹
青花缠枝莲纹折沿盆,杂宝
青花缠枝莲纹折沿盆,植物纹样
青花缠枝莲纹折沿盆,花卉纹
青花缠枝莲纹折沿盆,缠枝花卉
青花缠枝莲纹折沿盆,缠枝莲
青花缠枝莲纹折沿盆,莲花纹
青花缠枝莲纹折沿盆,莲瓣纹
青花缠枝莲纹折沿盆,折枝纹
青花缠枝莲纹折沿盆,回形纹
青花缠枝莲纹折沿盆,花瓣纹
青花缠枝莲纹折沿盆,朵花
青花缠枝莲纹折沿盆,被子植物
青花缠枝莲纹折沿盆,双子叶植物
青花缠枝莲纹折沿盆,莲花
青花缠枝莲纹折沿盆,睡莲科
青花缠枝莲纹折沿盆,莲（植物）
青花缠枝莲纹折沿盆,莲属
青花缠枝牡丹纹壶,缠枝纹
青花缠枝牡丹纹壶,植物纹样
青花缠枝牡丹纹壶,花卉纹
青花缠枝牡丹纹壶,缠枝花卉
青花缠枝牡丹纹壶,缠枝牡丹
青花缠枝牡丹纹壶,莲瓣纹
青花缠枝牡丹纹壶,回形纹
青花缠枝牡丹纹壶,如意云纹
青花缠枝牡丹纹壶,花瓣纹
青花缠枝牡丹纹壶,菊瓣纹
青花缠枝牡丹纹壶,花卉
青花缠枝牡丹纹壶,朵花
青花缠枝牡丹纹壶,应时花卉
青花缠枝牡丹纹壶,四季花卉
青花缠枝牡丹纹壶,春花
青花缠枝牡丹纹壶,夏花
青花缠枝牡丹纹壶,被子植物
青花缠枝牡丹纹壶,双子叶植物
青花缠枝牡丹纹壶,毛茛科
青花缠枝牡丹纹壶,牡丹
青花缠枝牡丹纹壶,牡丹纹
青花荷莲纹碗,植物纹样
青花荷莲纹碗,花卉纹
青花荷莲纹碗,莲花纹
青花荷莲纹碗,莲池
青花荷莲纹碗,植物图案
青花荷莲纹碗,藻（植物）
青花荷莲纹碗,被子植物
青花荷莲纹碗,双子叶植物
青花荷莲纹碗,荷（植物）
青花荷莲纹碗,莲花
青花荷莲纹碗,睡莲科
青花荷莲纹碗,莲（植物）
青花荷莲纹碗,莲的组合
青花荷莲纹碗,荷莲
青花荷莲纹碗,莲属
弘治款青花莲池游龙纹碗,动物纹样
弘治款青花莲池游龙纹碗,海水纹
弘治款青花莲池游龙纹碗,地（自然）
弘治款青花莲池游龙纹碗,水（自然）
弘治款青花莲池游龙纹碗,池塘
弘治款青花莲池游龙纹碗,莲池
弘治款青花莲池游龙纹碗,被子植物
弘治款青花莲池游龙纹碗,双子叶植物
弘治款青花莲池游龙纹碗,睡莲科
弘治款青花莲池游龙纹碗,动物图案
弘治款青花莲池游龙纹碗,想象的动物
弘治款青花莲池游龙纹碗,龙（想象的动物）
弘治款青花莲池游龙纹碗,瑞兽
弘治款青花莲池游龙纹碗,龙纹
弘治款青花莲池游龙纹碗,莲（植物）
弘治款青花莲池游龙纹碗,莲属
龙泉窑青釉带盖执壶,器皿
龙泉窑青釉带盖执壶,壶（容器）
龙泉窑青釉带盖执壶,瓷壶
龙泉窑青釉带盖执壶,执壶
龙泉窑青釉带盖执壶,瓷（陶瓷）
龙泉窑青釉带盖执壶,盖壶
龙泉窑青釉带盖执壶,青瓷
龙泉窑青釉带盖执壶,青釉壶
龙泉窑青釉带盖执壶,陶瓷
龙泉窑青釉带盖执壶,颜色釉瓷
哥窑青釉碗,开片纹
哥窑青釉八方杯,开片纹
哥窑青灰釉葵瓣口盘,开片纹
哥窑米黄釉葵瓣口盘,开片纹
哥窑青灰釉菊瓣式盘,开片纹
哥窑青灰釉葵瓣口洗,开片纹
哥窑青釉海棠花式盆,开片纹
哥窑青釉双耳彝炉,开片纹
哥窑青釉贯耳瓶,开片纹
哥窑米色釉胆式瓶,开片纹
哥窑青釉贯耳瓶,弦纹
哥窑青釉贯耳瓶,开片纹
龙泉窑青釉盘口瓶,器皿
龙泉窑青釉盘口瓶,瓶（容器）
龙泉窑青釉盘口瓶,瓷瓶
龙泉窑青釉盘口瓶,盘口瓶
龙泉窑青釉盘口瓶,瓷（陶瓷）
龙泉窑青釉盘口瓶,青瓷
龙泉窑青釉盘口瓶,青釉瓶
龙泉窑青釉盘口瓶,陶瓷
龙泉窑青釉盘口瓶,颜色釉瓷
